No Satelit    Epoch                 B*               True Anomaly       Ketinggian
41603         2023.28362708614      0.00015166       344.57224476       491.15426113
41603         2023.28415872416      0.00015100       327.81645516       492.16419807
41603         2023.28650584405      0.00015598       341.97799312       491.14470328
41603         2023.28720837233      0.00015592       306.98021259       494.17775691
41603         2023.28809422241      0.00016000       278.69427428       498.19987263
41603         2023.28920730984      0.00016283       345.16584341       490.90844005
41603         2023.29008349392      0.00016461       297.42299660       495.38021291
41603         2023.29079563786      0.00016893       281.69378992       497.69361266
41603         2023.29172179238      0.00017130       334.04940345       491.42920230
41603         2023.29261122123      0.00017189       312.86471981       493.37124074
41603         2023.29402251644      0.00017930       255.46665327       501.74977786
41603         2023.29440884923      0.00018006       308.07486503       493.87130561
41603         2023.29495371077      0.00018014       317.82077190       492.73465572
41603         2023.29531438679      0.00017714       319.06607725       492.61882293
41603         2023.29658129353      0.00017972       333.01165436       491.41692051
41603         2023.29749526244      0.00017958         0.98701227       490.35175875
41603         2023.29837757658      0.00017618       325.42572304       491.92282760
41603         2023.29925015312      0.00017753       270.33995723       499.37959170
41603         2023.30000710649      0.00017740       344.50827702       490.54697316
41603         2023.30071897118      0.00017466       328.10466191       491.57043553
41603         2023.30108038921      0.00017459       330.91394704       491.28023209
41603         2023.30305829852      0.00017505       326.92725874       491.59292785
41603         2023.30378307578      0.00017282       336.41734845       490.79789446
41603         2023.30448563052      0.00017428       301.54937651       494.47645729
41603         2023.30540969841      0.00017315       349.86752753       490.12421655
41603         2023.30648116688      0.00016822       332.69966686       491.00088778
41603         2023.30811287104      0.00016777       356.26579344       489.97842921
41603         2023.30918668353      0.00012922       343.28110560       490.29735314
41603         2023.31099541216      0.00016874         0.10740038       489.72652246
41603         2023.31191192175      0.00019666        33.59546360       491.29220082
41603         2023.31276952293      0.00022085       307.96519731       493.37135433
41603         2023.31367965164      0.00024450       328.44757857       491.09744735
41603         2023.31458388052      0.00024849       337.18849201       490.35698516
41603         2023.31638118137      0.00020464       332.02461125       490.70289953
41603         2023.31731542405      0.00015399        40.81847010       491.93206591
41603         2023.31817166016      0.00011525       312.99358396       492.61592503
41603         2023.31928650134      0.00018030        23.34140611       490.41566373
41603         2023.32017305203      0.00017438       356.15669599       489.60603646
41603         2023.32105347781      0.00017451       317.27131383       492.12890694
41603         2023.32214104636      0.00016946       332.21564147       490.65951897
41603         2023.32289855564      0.00016045        47.16488388       492.64226061
41603         2023.32375531992      0.00015538       320.37389088       491.74166370
